Plant_num,Cluster_ID,Variety,Pollen_donor,num_buds,end_num_buds,num_berries,fruit_set,berry_weight,stem_diam,Average_TSS,Average_pH,Volume,TA,TA(true)
1,1,Bluecrop,Bluecrop,68,68,42,0.617647059,16.09,5.96,20,2.8557,6,25600,25.6
1,2,Bluecrop,Duke,89,81,74,0.913580247,33.35,4.15,20.1,2.8197,5.99,25557.33333,25.55733333
1,3,Bluecrop,Reka,62,52,52,1,23.45,6.53,21.4,2.885,6.2,26453.33333,26.45333333
1,4,Bluecrop,Bluecrop,76,76,59,0.776315789,15.49,6.67,19.47,2.826,5.89,25130.66667,25.13066667
1,5,Bluecrop,Duke,84,83,55,0.662650602,22.94,4.73,19.13,2.769,6.44,27477.33333,27.47733333
1,6,Bluecrop,Reka,102,102,81,0.794117647,32.4,7.2,20.3,2.913,5.81,24789.33333,24.78933333
2,1,Bluecrop,Bluecrop,48,48,22,0.458333333,9.21,5.61,16.97,2.735,5.21,22229.33333,22.22933333
2,2,Bluecrop,Duke,79,62,34,0.548387097,18.13,3.1,21.17,3.133,3.71,15829.33333,15.82933333
2,3,Bluecrop,Reka,88,88,45,0.511363636,27.02,5.33,19.63,2.991,4.01,17109.33333,17.10933333
2,4,Bluecrop,Bluecrop,68,68,32,0.470588235,8.28,8.42,18.33,2.777,5.49,23424,23.424
2,5,Bluecrop,Duke,58,57,40,0.701754386,23.84,5.25,19.2,2.826,5.22,22272,22.272
2,6,Bluecrop,Reka,63,63,41,0.650793651,25.18,5.4,19.1,2.94,4.08,17408,17.408
3,1,Bluecrop,Bluecrop,65,65,27,0.415384615,8.27,5.95,17.27,2.829,4.65,19840,19.84
3,2,Bluecrop,Duke,73,73,45,0.616438356,28.23,6.12,17.47,3.062,3.18,13568,13.568
3,3,Bluecrop,Reka,60,60,42,0.7,20.58,4.22,19.9,3.405,1.84,7850.666667,7.850666667
3,4,Bluecrop,Bluecrop,65,65,30,0.461538462,10.33,3.37,19.73,3.037,2.58,11008,11.008
3,5,Bluecrop,Duke,51,39,14,0.358974359,6.51,6.48,18.1,2.804,3.68,15701.33333,15.70133333
3,6,Bluecrop,Reka,100,90,62,0.62,42.76,5.6,17.8,3.199,2.1,8960,8.96
1,1,Duke,Duke,71,71,0,0,0,4.35,,,,,
1,2,Duke,Bluecrop,75,67,7,0.104477612,2.11,4.49,20.1,,,,
1,3,Duke,Reka,73,65,13,0.2,8.09,4.79,21.1,3.272,2.79,11904,11.904
1,4,Duke,Duke,68,66,3,0.045454545,1.41,3.41,16.33,,,,
1,5,Duke,Bluecrop,93,87,11,0.126436782,4.44,7.64,18,2.92,3.95,16853.33333,16.85333333
1,6,Duke,Reka,94,94,2,0.021276596,0.78,7.78,17.57,,,,
2,1,Duke,Duke,58,58,23,0.396551724,5.24,4.27,17.17,2.927,4.98,21248,21.248
2,2,Duke,Bluecrop,66,65,9,0.138461538,1.61,3.97,20.43,,,,
2,3,Duke,Reka,72,72,38,0.527777778,11.25,7.32,21.43,3.244,2.67,11392,11.392
2,4,Duke,Duke,65,65,11,0.169230769,2.36,5.82,18.9,,,,
2,5,Duke,Bluecrop,87,87,36,0.413793103,9.57,5.65,22.37,3.269,2.51,10709.33333,10.70933333
2,6,Duke,Reka,61,61,34,0.557377049,11.5,9.03,21.73,3.187,3.42,14592,14.592
3,1,Duke,Duke,82,74,8,0.108108108,4.1,4.51,19.67,3.044,3.7,15786.66667,15.78666667
3,2,Duke,Bluecrop,72,65,5,0.076923077,1.81,7.01,20.77,,,,
3,3,Duke,Reka,53,48,28,0.583333333,18.23,7.13,19.9,3.216,2.54,10837.33333,10.83733333
3,4,Duke,Duke,64,63,11,0.174603175,8.11,5.7,20.67,3.617,1.75,7466.666667,7.466666667
3,5,Duke,Bluecrop,72,72,9,0.125,5.63,6.11,20.77,3.046,2.86,12202.66667,12.20266667
3,6,Duke,Reka,57,44,8,0.181818182,5.87,6.2,21.77,3.291,2.34,9984,9.984
